# Foundry naming map (generated by generate_map.py).
# Do not edit by hand: edit seed.tsv and regenerate.
# Applied LONGEST-MATCH-FIRST. Excludes thirdparty/** and .git/**.
#
# from	to	category	context	notes
GDVIRTUAL4R	FOUNDRY_VIRTUAL4R	C	code	generated
GDVIRTUAL5C	FOUNDRY_VIRTUAL5C	C	code	generated
GDVIRTUAL5R	FOUNDRY_VIRTUAL5R	C	code	generated
GDVIRTUAL6C	FOUNDRY_VIRTUAL6C	C	code	generated
GDVIRTUAL6R	FOUNDRY_VIRTUAL6R	C	code	generated
GDVIRTUAL7C	FOUNDRY_VIRTUAL7C	C	code	generated
GDVIRTUAL7R	FOUNDRY_VIRTUAL7R	C	code	generated
GDVIRTUAL8C	FOUNDRY_VIRTUAL8C	C	code	generated
GDVIRTUAL0	FOUNDRY_VIRTUAL0	C	code	generated
GDVIRTUAL1	FOUNDRY_VIRTUAL1	C	code	generated
GDVIRTUAL2	FOUNDRY_VIRTUAL2	C	code	generated
GDVIRTUAL3	FOUNDRY_VIRTUAL3	C	code	generated
GDVIRTUAL4	FOUNDRY_VIRTUAL4	C	code	generated
GDVIRTUAL5	FOUNDRY_VIRTUAL5	C	code	generated
GDVIRTUAL6	FOUNDRY_VIRTUAL6	C	code	generated
GDVIRTUAL8	FOUNDRY_VIRTUAL8	C	code	generated
GDVIRTUAL	FOUNDRY_VIRTUAL	C	code	generated
GDCLASS	FOUNDRY_CLASS	C	code	apply AFTER GDREGISTER_*/GDSOFTCLASS
is_GDVIRTUAL_CALL_post_process_key_value	is_FOUNDRY_VIRTUAL_CALL_post_process_key_value	C	code	embedded macro name in member flag
