# Foundry PROSE-SAFE naming map (derived from naming_map.tsv).
# Do not edit by hand: edit seed.tsv and regenerate.
# Applied LONGEST-MATCH-FIRST. Excludes thirdparty/** and .git/**.
#
# from	to	category	context	notes
GODOT_MACOS_NOTARIZATION_API_KEY	FOUNDRY_MACOS_NOTARIZATION_API_KEY	D	code	generated
GODOT_NIR_SC_SENTINEL_MAGIC_MASK	FOUNDRY_NIR_SC_SENTINEL_MAGIC_MASK	D	code	generated
get_gdextension_list_config_file	get_foundry_extension_list_config_file	B	code
test_conversion_gdscript_builtin	test_conversion_foundry_script_builtin	A	code
GODOT_JS_FETCH_STATE_REQUESTING	FOUNDRY_JS_FETCH_STATE_REQUESTING	D	code	generated
GODOT_MTL_DISABLE_IMAGE_ATOMICS	FOUNDRY_MTL_DISABLE_IMAGE_ATOMICS	D	code	generated
GODOT_SCENE_TREE_FTI_PRINT_TREE	FOUNDRY_SCENE_TREE_FTI_PRINT_TREE	D	code	generated
GODOT_UPDATE_INTERPOLATION_TICK	FOUNDRY_UPDATE_INTERPOLATION_TICK	D	code	generated
GODOT_WINDOWS_CODESIGN_IDENTITY	FOUNDRY_WINDOWS_CODESIGN_IDENTITY	D	code	generated
GODOT_WINDOWS_CODESIGN_PASSWORD	FOUNDRY_WINDOWS_CODESIGN_PASSWORD	D	code	generated
_open_gdscript_migration_wizard	_open_foundry_script_migration_wizard	A	code
load_gdextension_interface_file	load_foundry_extension_interface_file	B	code
pluginGDExtensionLibrariesPaths	pluginFoundryExtensionLibrariesPaths	B	code
GODOT_MTL_SHADER_LOAD_STRATEGY	FOUNDRY_MTL_SHADER_LOAD_STRATEGY	D	code	generated
GODOT_WAYLAND_DISABLE_EMBEDDER	FOUNDRY_WAYLAND_DISABLE_EMBEDDER	D	code	generated
GODOT_WAYLAND_DISABLE_LIBDECOR	FOUNDRY_WAYLAND_DISABLE_LIBDECOR	D	code	generated
keyword_gdscript_export_single	keyword_foundry_script_export_single	A	code
GDSCRIPT_REFLECTION_NAMESPACE	FOUNDRY_SCRIPT_REFLECTION_NAMESPACE	A	code
GODOT_APP_LAUNCHER_CLASS_NAME	FOUNDRY_APP_LAUNCHER_CLASS_NAME	D	code	generated
GODOT_EMBEDDED_CLIENT_DESTROY	FOUNDRY_EMBEDDED_CLIENT_DESTROY	D	code	generated
GODOT_NIR_SC_SENTINEL_ID_MASK	FOUNDRY_NIR_SC_SENTINEL_ID_MASK	D	code	generated
GODOT_PROJECT_NAME_XML_STRING	FOUNDRY_PROJECT_NAME_XML_STRING	D	code	generated
keyword_gdscript_export_multi	keyword_foundry_script_export_multi	A	code
GODOT_ANDROID_KEYSTORE_ALIAS	FOUNDRY_ANDROID_KEYSTORE_ALIAS	D	code	generated
GODOT_EDITOR_CUSTOM_FEATURES	FOUNDRY_EDITOR_CUSTOM_FEATURES	D	code	generated
GODOT_NIR_BINDING_MULTIPLIER	FOUNDRY_NIR_BINDING_MULTIPLIER	D	code	generated
OPCODE_CALL_GDSCRIPT_UTILITY	OPCODE_CALL_FOUNDRY_SCRIPT_UTILITY	A	code
ResourceFormatLoaderGDScript	ResourceFormatLoaderFoundryScript	A	code
TestGDScriptAnalyzerAccessor	TestFSAnalyzerAccessor	A	code
_INVALID_GDVIRTUAL_FUNC_ADDR	_INVALID_FOUNDRY_VIRTUAL_FUNC_ADDR	C	code	gdvirtual sentinel constant
GODOT_ANDROID_SIGN_KEYSTORE	FOUNDRY_ANDROID_SIGN_KEYSTORE	D	code	generated
GODOT_ANDROID_SIGN_PASSWORD	FOUNDRY_ANDROID_SIGN_PASSWORD	D	code	generated
GODOT_NIR_SC_SENTINEL_MAGIC	FOUNDRY_NIR_SC_SENTINEL_MAGIC	D	code	generated
GODOT_PLUGIN_V1_NAME_PREFIX	FOUNDRY_PLUGIN_V1_NAME_PREFIX	D	code	generated
GODOT_PLUGIN_V2_NAME_PREFIX	FOUNDRY_PLUGIN_V2_NAME_PREFIX	D	code	generated
GODOT_PROFILER_TRACK_MEMORY	FOUNDRY_PROFILER_TRACK_MEMORY	D	code	generated
GODOT_SCENE_TREE_FTI_VERIFY	FOUNDRY_SCENE_TREE_FTI_VERIFY	D	code	generated
GODOT_SCRIPT_ENCRYPTION_KEY	FOUNDRY_SCRIPT_ENCRYPTION_KEY	D	code	generated
GODOT_VERSION_MODULE_CONFIG	FOUNDRY_VERSION_MODULE_CONFIG	D	code	generated
ResourceFormatSaverGDScript	ResourceFormatSaverFoundryScript	A	code
__gdscript_type_arguments__	__foundry_script_type_arguments__	A	code	internal metadata key
keyword_gdscript_mastersync	keyword_foundry_script_mastersync	A	code
keyword_gdscript_puppetsync	keyword_foundry_script_puppetsync	A	code
keyword_gdscript_remotesync	keyword_foundry_script_remotesync	A	code
resource_loader_gdextension	resource_loader_foundry_extension	B	code
write_call_gdscript_utility	write_call_foundry_script_utility	A	code
GODOT_CLANG_WARNING_IGNORE	FOUNDRY_CLANG_WARNING_IGNORE	D	code	generated
GODOT_DEBUG_DELTA_SMOOTHER	FOUNDRY_DEBUG_DELTA_SMOOTHER	D	code	generated
GODOT_JS_FETCH_STATE_ERROR	FOUNDRY_JS_FETCH_STATE_ERROR	D	code	generated
GODOT_SILENCE_ROOT_WARNING	FOUNDRY_SILENCE_ROOT_WARNING	D	code	generated
dump-gdextension-interface	dump-foundryextension-interface	B	code	CLI flag (covers -json suffix)
dump_gdextension_interface	dump_foundry_extension_interface	B	code
load_platform_gdextensions	load_platform_foundry_extensions	B	code
populate_gdscript_metadata	populate_foundry_script_metadata	A	code
GDREGISTER_ABSTRACT_CLASS	FOUNDRY_REGISTER_ABSTRACT_CLASS	C	code
GDScriptByteCodeGenerator	FSByteCodeGenerator	A	code
GDScriptSyntaxHighlighter	FSSyntaxHighlighter	A	code
GODOT_JS_FETCH_STATE_BODY	FOUNDRY_JS_FETCH_STATE_BODY	D	code	generated
GODOT_JS_FETCH_STATE_DONE	FOUNDRY_JS_FETCH_STATE_DONE	D	code	generated
