# Foundry naming map (generated by generate_map.py).
# Do not edit by hand: edit seed.tsv and regenerate.
# Applied LONGEST-MATCH-FIRST. Excludes thirdparty/** and .git/**.
#
# from	to	category	context	notes
GDExtensionCallableCustomLessThan	FoundryExtensionCallableCustomLessThan	B	code	generated
GDExtensionCallableCustomToString	FoundryExtensionCallableCustomToString	B	code	generated
GDExtensionClassFreePropertyList2	FoundryExtensionClassFreePropertyList2	B	code	generated
GDExtensionClassPropertyCanRevert	FoundryExtensionClassPropertyCanRevert	B	code	generated
GDExtensionClassPropertyGetRevert	FoundryExtensionClassPropertyGetRevert	B	code	generated
GDExtensionClassVirtualMethodInfo	FoundryExtensionClassVirtualMethodInfo	B	code	generated
GDExtensionInitializationFunction	FoundryExtensionInitializationFunction	B	code	generated
GDExtensionScriptInstanceGetOwner	FoundryExtensionScriptInstanceGetOwner	B	code	generated
GDExtensionScriptInstanceToString	FoundryExtensionScriptInstanceToString	B	code	generated
GDExtensionUninitializedObjectPtr	FoundryExtensionUninitializedObjectPtr	B	code	generated
GDExtensionUninitializedStringPtr	FoundryExtensionUninitializedStringPtr	B	code	generated
_get_gdextension_list_config_file	_get_foundry_extension_list_config_file	B	code
dump_gdextension_interface_header	dump_foundry_extension_interface_header	B	code
GDExtensionCallableCustomIsValid	FoundryExtensionCallableCustomIsValid	B	code	generated
GDExtensionClassFreePropertyList	FoundryExtensionClassFreePropertyList	B	code	generated
GDExtensionClassRecreateInstance	FoundryExtensionClassRecreateInstance	B	code	generated
GDExtensionClassValidateProperty	FoundryExtensionClassValidateProperty	B	code	generated
GDExtensionMainLoopFrameCallback	FoundryExtensionMainLoopFrameCallback	B	code	generated
GDExtensionScriptInstanceDataPtr	FoundryExtensionScriptInstanceDataPtr	B	code	generated
get_gdextension_list_config_file	get_foundry_extension_list_config_file	B	code
GDExtensionClassCreateInstance2	FoundryExtensionClassCreateInstance2	B	code	generated
GDExtensionClassGetPropertyList	FoundryExtensionClassGetPropertyList	B	code	generated
GDExtensionDeinitializeCallback	FoundryExtensionDeinitializeCallback	B	code	generated
GDExtensionInterfaceFunctionPtr	FoundryExtensionInterfaceFunctionPtr	B	code	generated
GDExtensionPtrOperatorEvaluator	FoundryExtensionPtrOperatorEvaluator	B	code	generated
GDExtensionUninitializedTypePtr	FoundryExtensionUninitializedTypePtr	B	code	generated
GDExtensionWorkerThreadPoolTask	FoundryExtensionWorkerThreadPoolTask	B	code	generated
load_gdextension_interface_file	load_foundry_extension_interface_file	B	code
pluginGDExtensionLibrariesPaths	pluginFoundryExtensionLibrariesPaths	B	code
GDExtensionCallableCustomEqual	FoundryExtensionCallableCustomEqual	B	code	generated
GDExtensionCallableCustomInfo2	FoundryExtensionCallableCustomInfo2	B	code	generated
GDExtensionClassCreateInstance	FoundryExtensionClassCreateInstance	B	code	generated
GDExtensionInitializationLevel	FoundryExtensionInitializationLevel	B	code	generated
GDExtensionScriptInstanceInfo2	FoundryExtensionScriptInstanceInfo2	B	code	generated
GDExtensionScriptInstanceInfo3	FoundryExtensionScriptInstanceInfo3	B	code	generated
GDExtensionSpecialCompatHashes	FoundryExtensionSpecialCompatHashes	B	code	generated
GDExtensionUninitializedXXXPtr	FoundryExtensionUninitializedXXXPtr	B	code	generated
GDExtensionCallableCustomCall	FoundryExtensionCallableCustomCall	B	code	generated
GDExtensionCallableCustomFree	FoundryExtensionCallableCustomFree	B	code	generated
GDExtensionCallableCustomHash	FoundryExtensionCallableCustomHash	B	code	generated
GDExtensionCallableCustomInfo	FoundryExtensionCallableCustomInfo	B	code	generated
GDExtensionClassCreationInfo2	FoundryExtensionClassCreationInfo2	B	code	generated
GDExtensionClassCreationInfo3	FoundryExtensionClassCreationInfo3	B	code	generated
GDExtensionClassCreationInfo4	FoundryExtensionClassCreationInfo4	B	code	generated
GDExtensionClassCreationInfo5	FoundryExtensionClassCreationInfo5	B	code	generated
GDExtensionClassMethodPtrCall	FoundryExtensionClassMethodPtrCall	B	code	generated
GDExtensionClassNotification2	FoundryExtensionClassNotification2	B	code	generated
GDExtensionClassVirtualMethod	FoundryExtensionClassVirtualMethod	B	code	generated
GDExtensionConstStringNamePtr	FoundryExtensionConstStringNamePtr	B	code	generated
GDExtensionInitializeCallback	FoundryExtensionInitializeCallback	B	code	generated
GDExtensionPtrUtilityFunction	FoundryExtensionPtrUtilityFunction	B	code	generated
GDExtensionScriptInstanceCall	FoundryExtensionScriptInstanceCall	B	code	generated
GDExtensionScriptInstanceFree	FoundryExtensionScriptInstanceFree	B	code	generated
GDExtensionScriptInstanceInfo	FoundryExtensionScriptInstanceInfo	B	code	generated
GDExtensionClassCreationInfo	FoundryExtensionClassCreationInfo	B	code	generated
GDExtensionClassFreeInstance	FoundryExtensionClassFreeInstance	B	code	generated
GDExtensionClassNotification	FoundryExtensionClassNotification	B	code	generated
GDExtensionMainLoopCallbacks	FoundryExtensionMainLoopCallbacks	B	code	generated
GDExtensionScriptInstanceGet	FoundryExtensionScriptInstanceGet	B	code	generated
GDExtensionScriptInstancePtr	FoundryExtensionScriptInstancePtr	B	code	generated
GDExtensionScriptInstanceSet	FoundryExtensionScriptInstanceSet	B	code	generated
GDExtensionScriptLanguagePtr	FoundryExtensionScriptLanguagePtr	B	code	generated
GDExtensionClassCallVirtual	FoundryExtensionClassCallVirtual	B	code	generated
GDExtensionClassConstructor	FoundryExtensionClassConstructor	B	code	generated
GDExtensionClassGetVirtual2	FoundryExtensionClassGetVirtual2	B	code	generated
GDExtensionClassInstancePtr	FoundryExtensionClassInstancePtr	B	code	generated
GDExtensionClassMethodFlags	FoundryExtensionClassMethodFlags	B	code	generated
GDExtensionClassUnreference	FoundryExtensionClassUnreference	B	code	generated
GDExtensionPtrBuiltInMethod	FoundryExtensionPtrBuiltInMethod	B	code	generated
GDExtensionPtrIndexedGetter	FoundryExtensionPtrIndexedGetter	B	code	generated
